file,total,afd,cdu,spd,csu,fdp,linke,gruene,grüne,wahlkampf,merkel,flüchtlinge,refugees,asyl,btw17,btw2017,schulz,schulztrain,schulzzug,stmartin
"~/tweets/germany_2017_07_28_02_00_01.json","3771","92","31","212","59","1820","24","4","15","15","288","22","641","31","10","2","101","0","0","0"
"~/tweets/germany_2017_07_28_03_00_02.json","3419","96","32","106","58","1740","17","5","9","4","212","45","587","16","12","4","83","0","1","1"
"~/tweets/germany_2017_07_28_04_00_01.json","3397","207","94","204","83","1301","59","4","25","24","346","61","576","38","52","14","124","0","0","0"
"~/tweets/germany_2017_07_28_05_00_01.json","3457","307","110","198","85","945","78","13","41","26","485","107","528","51","80","22","166","0","1","0"
"~/tweets/germany_2017_07_28_06_00_02.json","3759","367","121","249","89","628","100","26","57","35","513","97","657","84","114","25","257","0","2","2"
"~/tweets/germany_2017_07_28_07_00_02.json","4183","510","238","260","136","608","204","33","116","41","552","177","667","96","156","38","244","0","0","2"
"~/tweets/germany_2017_07_28_08_00_02.json","4410","590","236","227","100","608","164","37","72","68","616","119","672","122","209","24","238","0","7","0"
"~/tweets/germany_2017_07_28_09_00_02.json","5101","582","199","268","87","833","206","68","139","64","665","141","739","81","332","56","239","0","2","0"
"~/tweets/germany_2017_07_28_10_00_01.json","6054","724","220","318","88","1047","164","52","211","82","684","137","1209","90","376","43","198","0","3","0"
"~/tweets/germany_2017_07_28_11_00_02.json","6683","1182","241","235","105","1185","205","45","121","99","763","113","1027","67","627","61","149","0","1","0"
"~/tweets/germany_2017_07_28_12_00_02.json","6470","882","218","301","116","1289","197","41","118","81","598","114","1034","88","341","70","183","0","0","0"
"~/tweets/germany_2017_07_28_13_00_02.json","5383","796","168","255","89","1065","109","54","115","142","511","124","941","52","330","56","208","0","0","2"
"~/tweets/germany_2017_07_28_14_00_02.json","6107","836","346","308","98","1321","175","50","109","95","840","132","907","96","365","60","213","0","1","0"
"~/tweets/germany_2017_07_28_15_00_02.json","7464","791","441","356","99","1563","173","60","158","98","1324","164","1290","122","281","48","175","0","2","0"
"~/tweets/germany_2017_07_28_16_00_02.json","7688","776","391","287","124","1750","199","59","96","76","1306","168","1132","81","241","74","287","0","1","1"
"~/tweets/germany_2017_07_28_17_00_02.json","7000","753","335","230","112","1559","192","41","97","87","1207","145","1078","80","240","38","239","0","1","0"
"~/tweets/germany_2017_07_28_18_00_03.json","6842","635","313","258","100","1455","141","30","157","69","1311","155","1110","99","186","32","207","0","2","1"
"~/tweets/germany_2017_07_28_19_00_02.json","6674","673","305","287","99","1469","148","53","149","83","1348","146","891","68","187","20","185","0","4","1"
"~/tweets/germany_2017_07_28_20_00_01.json","6977","672","346","316","90","1859","128","26","143","63","1376","139","833","91","139","24","146","0","5","0"
"~/tweets/germany_2017_07_28_21_00_02.json","6345","595","209","244","93","1660","124","28","89","62","1233","128","921","340","143","5","132","0","0","0"
"~/tweets/germany_2017_07_28_22_00_01.json","6384","456","132","157","76","1858","94","26","63","24","1636","98","884","976","105","5","91","0","0","0"
"~/tweets/germany_2017_07_28_23_00_02.json","4700","333","95","173","61","1507","40","22","46","20","824","54","788","393","67","6","71","0","2","0"
"~/tweets/germany_2017_07_29_00_00_02.json","3755","237","33","86","42","1330","43","9","26","22","555","33","798","249","68","4","55","0","0","0"
"~/tweets/germany_2017_07_29_01_00_01.json","3423","142","36","86","153","1275","22","9","19","11","430","26","715","152","37","2","56","0","0","1"
"~/tweets/germany_2017_07_29_02_00_01.json","3240","80","28","77","45","1331","14","3","17","8","392","22","629","177","18","2","77","0","1","2"
"~/tweets/germany_2017_07_29_03_00_03.json","2805","94","22","61","33","1217","17","10","21","3","377","19","549","160","12","3","41","0","0","0"
"~/tweets/germany_2017_07_29_04_00_02.json","3057","136","63","85","49","1069","26","10","38","8","447","44","535","168","24","16","61","0","1","0"
"~/tweets/germany_2017_07_29_05_00_01.json","3605","281","153","146","49","896","45","16","60","43","860","88","478","387","84","11","76","0","2","0"
"~/tweets/germany_2017_07_29_06_00_02.json","4055","360","154","209","81","626","106","21","101","48","1013","93","605","383","107","12","95","0","4","0"
"~/tweets/germany_2017_07_29_07_00_01.json","4622","479","201","256","65","577","111","50","116","61","1123","169","699","317","100","17","215","0","1","2"
"~/tweets/germany_2017_07_29_08_00_01.json","4852","449","217","243","127","655","132","62","205","68","1126","155","542","265","158","21","143","0","1","0"
"~/tweets/germany_2017_07_29_09_00_02.json","5316","474","176","188","104","707","134","50","177","43","1056","141","504","207","103","29","218","0","1","0"
"~/tweets/germany_2017_07_29_10_00_02.json","5711","437","279","210","97","824","152","54","202","78","1208","119","678","241","89","11","187","0","2","0"
"~/tweets/germany_2017_07_29_11_00_02.json","6074","521","255","240","144","851","117","49","238","64","1332","108","980","248","95","13","304","0","1","0"
"~/tweets/germany_2017_07_29_12_00_03.json","6581","505","303","276","102","1605","110","55","253","46","1353","108","1154","300","135","21","176","0","0","0"
"~/tweets/germany_2017_07_29_13_00_02.json","6217","455","287","231","124","1317","131","46","210","79","1250","92","1252","192","112","36","174","0","0","1"
"~/tweets/germany_2017_07_29_14_00_02.json","6663","438","211","244","142","1611","128","33","139","46","1332","101","1217","202","128","13","150","0","4","1"
"~/tweets/germany_2017_07_29_15_00_02.json","6885","402","296","245","127","1824","153","35","152","54","1405","70","1078","205","95","14","131","0","1","0"
"~/tweets/germany_2017_07_29_16_00_01.json","6561","392","378","221","135","1972","130","25","139","51","1202","88","950","168","87","17","124","0","0","1"
"~/tweets/germany_2017_07_29_17_00_01.json","6279","501","418","218","148","1701","132","45","187","44","1082","66","885","165","122","43","131","0","0","0"
"~/tweets/germany_2017_07_29_18_00_02.json","5699","497","317","195","132","1521","183","53","186","76","1114","65","762","133","93","18","137","0","0","0"
"~/tweets/germany_2017_07_29_19_00_02.json","5942","500","333","196","134","1851","151","39","179","69","1103","73","780","166","110","12","106","0","0","2"
"~/tweets/germany_2017_07_29_20_00_01.json","7127","592","394","294","125","2555","156","50","183","69","1383","91","816","153","152","21","103","0","0","0"
"~/tweets/germany_2017_07_29_21_00_03.json","5986","460","297","187","83","1741","111","13","125","46","1345","61","911","115","89","11","118","0","0","1"
"~/tweets/germany_2017_07_29_22_00_02.json","5117","308","172","168","81","1779","70","12","57","26","997","44","679","105","78","8","106","0","0","1"
"~/tweets/germany_2017_07_29_23_00_02.json","3572","197","87","76","42","1436","47","20","51","11","548","49","594","70","24","3","61","0","0","0"
"~/tweets/germany_2017_07_30_00_00_02.json","3705","123","87","83","49","1877","34","13","41","20","407","24","493","63","6","3","65","0","0","0"
"~/tweets/germany_2017_07_30_01_00_01.json","3505","75","287","74","29","1566","16","5","19","8","342","15","570","32","8","3","76","0","1","0"
"~/tweets/germany_2017_07_30_02_00_01.json","3119","70","219","31","35","1150","7","2","9","2","468","5","610","43","2","2","60","0","0","1"
"~/tweets/germany_2017_07_30_03_00_02.json","2580","73","39","65","18","1020","19","4","22","3","310","10","573","33","7","4","41","0","0","0"
"~/tweets/germany_2017_07_30_04_00_02.json","2538","91","54","85","37","911","32","3","20","4","346","15","526","27","23","9","61","0","0","0"
"~/tweets/germany_2017_07_30_05_00_02.json","2859","178","109","137","58","753","36","12","47","15","492","31","656","78","33","3","72","0","1","0"
"~/tweets/germany_2017_07_30_06_00_02.json","3291","261","158","231","104","595","77","22","94","21","794","53","600","77","51","5","106","0","0","0"
"~/tweets/germany_2017_07_30_07_00_01.json","4097","401","321","322","120","497","131","29","102","43","1022","64","604","153","82","20","132","0","0","0"
"~/tweets/germany_2017_07_30_08_00_01.json","5007","529","414","548","122","579","149","28","154","43","1237","71","641","132","133","26","121","0","1","1"
